,0
2243,28
2244,42
2245,32
2246,28
2247,31
2248,34
2249,45
2250,45
2251,41
2252,122
2253,42
2254,14
2255,21
2256,21
2257,54
2258,49
2259,24
2260,39
2261,43
2262,37
2263,49
2264,30
2265,65
2266,21
2267,45
2268,46
2269,18
2270,17
2271,40
2272,25
2273,45
2274,24
2275,24
2276,15
2277,36
2278,28
2279,15
2280,10
2281,66
2282,31
2283,21
2284,30
2285,42
2286,40
2287,39
2288,21
2289,29
2290,45
2291,10
2292,46
2293,17
2294,35
2295,63
2296,54
2297,61
2298,27
2299,20
2300,29
2301,33
2302,56
2303,31
2304,29
2305,28
2306,14
2307,30
2308,15
2309,43
2310,23
2311,25
2312,52
2313,35
2314,30
2315,54
2316,46
2317,16
2318,137
2319,65
2320,25
2321,19
2322,11
2323,31
2324,16
2325,34
2326,34
2327,44
2328,30
2329,32
2330,28
2331,21
2332,16
2333,20
2334,14
2335,13
2336,42
2337,31
2338,52
2339,22
2340,10
2341,26
2342,91
2343,67
2344,24
2345,18
2346,49
2347,20
2348,48
2349,19
2350,67
2351,35
2352,32
2353,41
2354,20
2355,22
2356,11
2357,9
2358,20
2359,11
2360,11
2361,61
2362,29
2363,24
2364,26
2365,50
2366,39
2367,33
2368,25
2369,44
2370,39
2371,40
2372,51
2373,25
2374,27
2375,24
2376,42
2377,49
2378,33
2379,31
2380,27
2381,24
2382,28
2383,9
2384,17
2385,8
2386,48
2387,26
2388,43
2389,67
2390,12
2391,23
2392,62
2393,66
2394,16
2395,57
2396,43
2397,33
2398,56
2399,71
2400,18
2401,27
2402,45
2403,62
2404,78
2405,63
2406,27
2407,53
2408,48
2409,37
2410,31
2411,23
2412,31
2413,72
2414,13
2415,15
2416,43
2417,35
2418,42
2419,16
2420,52
2421,32
2422,31
2423,7
2424,49
2425,69
2426,21
2427,39
2428,11
2429,23
2430,45
2431,13
2432,9
2433,47
2434,21
2435,41
2436,15
2437,22
2438,68
2439,10
2440,28
2441,29
2442,22
2443,23
2444,33
2445,27
2446,8
2447,37
2448,20
2449,33
2450,40
2451,19
2452,10
2453,27
2454,38
2455,22
2456,47
2457,54
2458,22
2459,54
2460,35
2461,26
2462,12
2463,48
2464,17
2465,40
2466,19
2467,32
2468,93
2469,52
2470,48
2471,25
2472,51
2473,34
2474,32
2475,21
2476,53
2477,21
2478,61
2479,48
2480,25
2481,53
2482,9
2483,92
2484,16
2485,23
2486,28
2487,25
2488,22
2489,15
2490,48
2491,51
2492,40
2493,66
2494,34
2495,43
2496,21
2497,22
2498,50
2499,36
2500,34
2501,22
2502,14
2503,17
2504,34
2505,13
2506,25
2507,15
2508,25
2509,13
2510,70
2511,76
2512,21
2513,28
2514,51
2515,30
2516,10
2517,59
2518,69
2519,45
2520,102
2521,14
2522,27
2523,22
2524,25
2525,84
2526,25
2527,10
2528,26
2529,67
2530,48
2531,13
2532,19
2533,17
2534,31
2535,30
2536,63
2537,26
2538,42
2539,33
2540,19
2541,56
2542,63
2543,22
2544,33
2545,42
2546,32
2547,23
2548,45
2549,36
2550,88
2551,47
2552,33
2553,43
2554,71
2555,42
2556,26
2557,32
2558,21
2559,87
2560,24
2561,18
2562,37
2563,17
2564,49
2565,32
2566,36
2567,46
2568,33
2569,31
2570,82
2571,32
2572,39
2573,28
2574,37
2575,14
2576,27
2577,32
2578,36
2579,46
2580,29
2581,32
2582,11
2583,14
2584,36
2585,29
2586,25
2587,40
2588,25
2589,38
2590,19
2591,69
2592,60
2593,22
2594,58
2595,73
2596,88
2597,50
2598,34
2599,28
2600,25
2601,99
2602,16
2603,34
2604,6
2605,16
2606,18
2607,24
2608,17
2609,10
2610,55
2611,38
2612,32
2613,20
2614,52
2615,28
2616,50
2617,8
2618,28
2619,78
2620,22
2621,16
2622,31
2623,30
2624,67
2625,26
2626,29
2627,39
2628,11
2629,20
2630,19
2631,16
2632,63
2633,18
2634,12
2635,22
2636,47
2637,19
2638,39
2639,40
2640,54
2641,34
2642,25
2643,52
2644,43
2645,98
2646,103
2647,27
2648,21
2649,22
2650,29
2651,61
2652,23
2653,37
2654,63
2655,36
2656,56
2657,54
2658,49
2659,7
2660,119
2661,49
2662,76
2663,27
2664,20
2665,55
2666,37
2667,36
2668,65
2669,69
2670,37
2671,40
2672,21
2673,99
2674,50
2675,61
2676,62
2677,22
2678,31
2679,35
2680,61
2681,41
2682,101
2683,28
2684,26
2685,57
2686,37
2687,42
2688,16
2689,66
2690,27
2691,85
2692,54
2693,64
2694,29
2695,32
2696,21
2697,20
2698,56
2699,59
2700,36
2701,54
2702,74
2703,25
2704,11
2705,33
2706,23
2707,77
2708,33
2709,23
2710,52
2711,65
2712,38
2713,33
2714,36
2715,19
2716,69
2717,23
2718,46
2719,42
2720,39
2721,39
2722,26
2723,30
2724,63
2725,14
2726,18
2727,44
2728,23
2729,10
2730,19
2731,26
2732,20
2733,26
2734,27
2735,42
2736,45
2737,13
2738,56
2739,37
2740,29
2741,32
2742,37
2743,33
2744,18
2745,30
2746,40
2747,115
2748,92
2749,39
2750,36
2751,27
2752,54
2753,49
2754,39
2755,25
2756,52
2757,20
2758,22
2759,22
2760,28
2761,24
2762,54
2763,46
